competitor_species,rii_tb_s,rii_tb,loc
VG,-0.3030595531521316,-0.6626350717981399,HU8
BH,-0.5640831487365556,-0.5920949570872349,HU9
BT,-0.6822901654808323,-0.6643549737359001,HU9
CM,-0.6961817137320889,-0.4668591719737735,HU9
HV,-0.604852388744199,-0.6002566855304415,HU9
LP,-0.18155024511601175,-0.2534196427189527,HU9
LS,-0.17157216740033282,-0.36489467000499387,HU9
PS,-0.21197087250406582,-0.371110874224824,HU9
VG,-0.43228245589008923,-0.24857209695408142,HU9
BH,-0.22100413111821457,-0.2926027209691632,IN1
BT,-0.35975392301288195,0.02658907403417314,IN1
CM,-0.10851748523743159,-0.2919222622577804,IN1
HV,-0.19348610152854503,-0.384844151005917,IN1
LP,0.06447480561049826,-0.4043682524232536,IN1
LS,-0.1717387560117995,-0.1693015594341277,IN1
PS,-0.056431975713479646,-0.05320586031284502,IN1
VG,0.009090424388648816,-0.486179265651365,IN1
BH,-0.32516295523423355,-0.42336931180042925,IN2
BT,-0.8680616599773147,-0.5685470374006462,IN2
CM,-0.6434032492592695,-0.17059743159878543,IN2
HV,-0.6952267134275554,-0.5612531258375257,IN2
LP,-0.5877355039180447,-0.147772085005777,IN2
LS,-0.5358216430308332,-0.44026167191353366,IN2
PS,-0.6353392204908878,-0.4642313684249702,IN2
VG,-0.5553391265035924,-0.5079089926395939,IN2
BH,-0.4412381699592432,0.16666987084642945,IN3
BT,-0.7110722860972721,0.08666108023883665,IN3
CM,-0.250631070367907,-0.09781268186166088,IN3
HV,-0.3721131315927341,-0.24193451942542626,IN3
LP,-0.13335759589693408,-0.4029109997372819,IN3
LS,-0.4619890367002545,0.33270774599485586,IN3
PS,-0.1000926753622353,0.011824013026669553,IN3
VG,-0.4567853904621083,-0.0708549452647307,IN3
BH,-0.4963618515413198,-0.31996566196372456,IN4
BT,-0.5919024819967085,-0.30818642432500537,IN4
CM,-0.3881549003825524,-0.24256644744632708,IN4
HV,-0.7565593086008634,-0.5251864596426886,IN4
LP,-0.41624911909100654,-0.07426923446313768,IN4
LS,-0.3221467215313335,0.11523438681955196,IN4
PS,-0.5908334440625871,-0.18211663161229266,IN4
VG,-0.3318058387371202,-0.6827754123289143,IN4
BH,-0.3730975616207692,-0.07214292701646825,IN5
BT,-0.8197436557770915,-0.5276824493665403,IN5
CM,-0.5781916806651144,0.07525684959847549,IN5
HV,-0.6216554151594785,-0.27797116147848416,IN5
LP,-0.2626666593249859,-0.2049987999271379,IN5
LS,-0.7954834015157587,-0.5717182920438878,IN5
PS,-0.4196058923575727,-0.24393699057052606,IN5
VG,-0.5769618238298707,-0.6193044825623232,IN5
BH,-0.6653244960948237,-0.4641651992675936,IN6
BT,-0.8346012198385219,-0.5986628850446674,IN6
CM,-0.825200685594433,-0.31674248712545416,IN6
HV,-0.45165621712529497,-0.4549830178986575,IN6
LP,-0.30165005555985,-0.27150961273206903,IN6
LS,-0.6973767174472633,-0.5759445667320605,IN6
PS,-0.6606220407156163,-0.4669427141581807,IN6
VG,-0.6504011141698166,-0.7906878966683777,IN6
BH,-0.8025118161272775,-0.28156929415986903,IN7
BT,-0.8333961920213983,-0.537311804979697,IN7
CM,-0.4714627245021169,-0.11804980154271871,IN7
HV,-0.5534061023106609,-0.28903753457699216,IN7
LP,-0.4412687033103042,-0.1150554768061406,IN7
LS,-0.6902393120435428,-0.5427097423397516,IN7
PS,-0.7283529680105644,-0.4933944206009733,IN7
VG,-0.6204427562017356,-0.0519220164141824,IN7
BH,-0.684449314411582,-0.4470503286007255,IN8
BT,-0.7296535219487127,-0.4481280328007248,IN8
CM,-0.028484209644180258,-0.37784323746710324,IN8
HV,-0.51384178512868,-0.47626337391368806,IN8
LP,-0.6488815119694707,-0.03965301684888498,IN8
LS,-0.2662456960490633,0.004136814602295974,IN8
PS,-0.5282908209258246,-0.3407113090827633,IN8
VG,-0.2685554473395875,-0.44748124911018344,IN8
BH,-0.5457909246986928,-0.4190131955403497,IN9
BT,-0.8389533776593896,-0.4840624225376174,IN9
CM,-0.6970619391557111,-0.04218343358412129,IN9
HV,-0.7783351913154534,-0.5329532517621794,IN9
LP,-0.19312207521275337,-0.15390306875896617,IN9
LS,-0.7523176055173415,-0.47386212139769934,IN9
PS,-0.5710560899899298,-0.3015193340670001,IN9
VG,-0.7436695636040606,-0.7665215588723052,IN9
BH,-0.2753040731656458,-0.5003075342948868,US1
BT,0.17612376073862673,-0.8317235170529713,US1
CM,-0.07075740512811454,-0.7005236694732527,US1
HV,-0.007399330415946398,-0.583306960183975,US1
LP,0.1600443896832731,-0.01974290967589361,US1
LS,-0.3677009670798491,-0.8627706012372827,US1
